Country,Year,GDPPC,GDP_Growth,GINI,Gov_Debt,Inflation,Life_Exp,Unemployment,Edu,PI
Afghanistan,1960,,,,,,32.535,,0.37,0
Albania,1960,,,,,,54.439,,2.98,0
Argentina,1960,7410.305029,,,,,63.978,,5.67,6375
Australia,1960,19904.94341,,,,3.728813559,70.81707317,,8.53,312
Austria,1960,12051.15117,,,,1.945749352,68.58560976,,5.86,562
Belgium,1960,11734.30617,,,,0.299467255,69.70195122,,7.22,1562
Benin,1960,657.2189415,,,,,38.181,,0.61,625
Bulgaria,1960,,,,,,69.24756098,,4.99,0
Bolivia,1960,1275.17751,,,,11.53315258,43.1,,3.06,4312
Brazil,1960,2578.429025,,,,,52.66,,2.55,625
Central African Republic,1960,583.648968,,,,,39.236,,0.5,0
Canada,1960,,,,,1.358695652,71.13317073,,8.34,0
Switzerland,1960,,,,,1.438794703,71.31341463,,9.04,0
Chile,1960,3288.607468,,,,,57.015,,5.22,750
China,1960,238.217052,,,,,33.275,,2.51,750
Cameroon,1960,943.2784617,,,,,34.819,,1.08,4687
Colombia,1960,1951.042877,,,,5.814076282,57.13,,3.05,1250
Costa Rica,1960,3558.990682,,,,0.790205818,60.415,,3.89,1250
Cuba,1960,,,,,,64.173,,3.99,8500
Cyprus,1960,,,,,0.827300931,64.187,,5.14,437
Denmark,1960,18107.37593,,,,1.255230126,72.17658537,,5.06,0
Ecuador,1960,2529.871341,,,,1.676599126,53.364,,3.22,562
Spain,1960,6215.036283,,,,1.177771084,69.10926829,,4.18,2750
Finland,1960,11425.29343,,,,3.418127254,68.8197561,,4.18,250
France,1960,11169.64724,,,,4.139935755,69.86829268,,4.2,2812
Gabon,1960,3304.691632,,,,,46.575,,1.01,0
United Kingdom,1960,14914.88076,,,,1.003575704,71.12682927,,6.86,1062
Ghana,1960,1107.988683,,,,,47.096,,1.05,1500
Greece,1960,5030.743562,,,,1.477847585,69.3,,7.39,0
Guatemala,1960,1854.789665,,,,-1.190693153,45.808,,1.4,4750
Honduras,1960,1197.05629,,,,-1.746238157,48.317,,1.92,250
Haiti,1960,1716.037591,,,,-5.030041596,43.499,,0.8,812
Hungary,1960,,,,,,68.00317073,,7.43,0
Indonesia,1960,597.1474028,,,,39.59044369,46.452,,1.57,1875
India,1960,305.7892575,,,,1.779877847,45.218,,1.13,7000
Ireland,1960,,,,,0.450837269,70.19426829,,6.72,0
Iraq,1960,,,,,3.478237904,52.618,,0.5,2000
Iceland,1960,,,,,1.988397239,73.76204878,,6.14,0
Israel,1960,,,,,2.228112421,,,7.66,250
Italy,1960,9687.647006,,,,2.350161414,69.12390244,,4.86,3250
Jordan,1960,,,,,,52.617,,2.41,1562
Japan,1960,6260.67597,,,,3.574511525,67.69560976,,7.76,5937
Cambodia,1960,,,,,,42.361,,1.18,0
Liberia,1960,,,,,,38.33,,0.73,0
Sri Lanka,1960,,,,,-1.544676806,60.699,,3.98,312
Luxembourg,1960,25520.18243,,,,0.449620296,68.59253659,,4.51,0
Morocco,1960,,,,,3.424299065,42.017,,0.49,2312
Mexico,1960,4197.98229,,,,4.927518869,55.017,,2.52,625
Mali,1960,,,,,,29.754,,0.2,1875
Mongolia,1960,,,,,,44.984,,2.52,0
Mauritania,1960,,,,,,44.767,,1.43,0
Malaysia,1960,1286.103398,,,,0.063182598,56.502,,2.83,1250
Niger,1960,744.026216,,,,,36.404,,0.38,250
Nicaragua,1960,1665.422616,,,,,46.125,,2.17,2500
Netherlands,1960,14276.87006,,,,2.323943662,73.39268293,,6.19,250
Norway,1960,19134.05988,,,,0.360492347,73.5497561,,7.48,0
Nepal,1960,325.7304275,,,,,38.559,,0.13,2437
New Zealand,1960,,,,,0.697929234,71.23658537,,9.9,0
Pakistan,1960,411.7556261,,,,6.947368421,44.932,,1.15,0
Panama,1960,2723.059769,,,,0.051177072,60.702,,4.59,500
Peru,1960,2704.879948,,,,8.664459163,50.495,,3.21,0
Philippines,1960,1100.310897,,,,4.15482178,59.227,,3.46,1500
Poland,1960,,,,,,67.6804878,,6.04,750
Portugal,1960,3934.944738,,,,3.046592778,64.00746341,,2.28,0
Paraguay,1960,1499.155404,,,,8.181818182,60.423,,3.43,6500
Romania,1960,,,,,,65.86053659,,5.18,0
Saudi Arabia,1960,,,,,,45.94,,2.71,1875
