Country,Year,FDI,Imports,Exports,Aid,ME,PI
Afghanistan,1960,,7.024793366,4.132233215,,,0
Albania,1960,,,,,,0
Argentina,1960,,7.604046979,7.604049108,,1.55,6375
Australia,1960,,14.03719978,12.9717691,,2.37,312
Austria,1960,,,,,1.46,562
Belgium,1960,,,,,3.4,1562
Benin,1960,,12.110286,6.123913813,,0.87,625
Burkina Faso,1960,,15.83940461,4.861965447,,0.68,0
Bulgaria,1960,,,,,,0
Bolivia,1960,,23.93391382,16.20897522,,,4312
Brazil,1960,,6.333657966,6.281813562,,2.68,625
Central African Republic,1960,,34.18181226,23.27272448,,,0
Canada,1960,,,,,4.19,0
Switzerland,1960,,,,,2.34,0
Chile,1960,,15.83330939,13.05617869,,3.12,750
China,1960,,4.428270186,4.305829535,,,750
Cameroon,1960,,,,,,4687
Colombia,1960,,14.75743288,15.69457914,,1.88,1250
Costa Rica,1960,,26.07585904,21.18510602,,,1250
Cuba,1960,,,,,,8500
Cyprus,1960,,,,,,437
Denmark,1960,,,,,2.73,0
Dominican Republic,1960,,18.81321482,25.59489542,,5.23,812
Ecuador,1960,,10.36407199,9.5475746,,2.38,562
Spain,1960,,,,,2.25,2750
Ethiopia,1960,,,,,,3125
Finland,1960,,,,,1.77,250
France,1960,,12.37989495,14.814024,,5.43,2812
Gabon,1960,,32.62720952,34.17098666,,,0
United Kingdom,1960,,,,,7.09,1062
Ghana,1960,,35.44303797,28.19332566,,1.71,1500
Guinea,1960,,,,,,0
Greece,1960,,14.56990184,9.903857868,,4.86,0
Guatemala,1960,,14.53622217,12.63894333,,1.16,4750
Honduras,1960,,23.0299419,21.39133025,,1.17,250
Haiti,1960,,,,,,812
Hungary,1960,,,,,,0
Indonesia,1960,,12.55766274,11.53254741,,,1875
India,1960,,6.833676657,4.463156456,,2.0,7000
Ireland,1960,,,,,1.33,0
Iraq,1960,,,,,7.05,2000
Iceland,1960,,,,,,0
Israel,1960,,,,15.78110977,7.46,250
Italy,1960,,,,,2.71,3250
Jordan,1960,,,,,20.4,1562
Japan,1960,,,,,1.08,5937
Cambodia,1960,,21.97309253,13.9013451,,,0
Lebanon,1960,,,,,,437
Liberia,1960,,,,,,0
Libya,1960,,,,,1.59,562
Sri Lanka,1960,,32.91264342,29.95324989,,1.18,312
Luxembourg,1960,,,,,0.91,0
Morocco,1960,,22.69861022,23.57163466,,2.32,2312
Madagascar,1960,,16.62452489,10.03018418,,,0
Mexico,1960,,11.66368098,8.505521472,,0.67,625
Mali,1960,,,,,,1875
Mongolia,1960,,,,,,0
Mauritania,1960,,,,,,0
Malaysia,1960,,39.2601432,53.06853051,,2.68,1250
Niger,1960,,7.405343004,7.100410732,,,250
Nigeria,1960,,16.9249824,9.241530464,,0.7,312
Nicaragua,1960,,26.16901553,23.65297053,,,2500
Netherlands,1960,,,,,3.7,250
Norway,1960,,,,,3.2,0
Nepal,1960,,,,,,2437
New Zealand,1960,,,,,2.69,0
Pakistan,1960,,13.21832643,7.174862776,,4.31,0
Panama,1960,,54.37990822,45.78823939,,,500
Peru,1960,,20.27059575,20.21071177,,2.51,0
Philippines,1960,,,,,1.78,1500
Poland,1960,,,,,,750
Portugal,1960,,,,,2.56,0
Paraguay,1960,,,,,2.53,6500
Romania,1960,,,,,,0
Saudi Arabia,1960,,,,,,1875
Sudan,1960,,13.00356961,14.55889852,,1.92,0
Senegal,1960,,12.58073494,11.51147733,,,0
El Salvador,1960,,,,,,2375
Somalia,1960,,17.14505671,12.71525647,,,0
Sweden,1960,,21.56486213,20.92576749,,3.78,0
Chad,1960,,17.03756863,13.38964568,,,0
Togo,1960,,31.54895705,31.13120299,,,0
Thailand,1960,,17.41521516,16.1446432,,2.47,0
Tunisia,1960,,,,,2.0,0
Uruguay,1960,,18.62068966,13.79310345,,,375
South Africa,1960,,21.26740278,25.5880941,,0.95,6375
Afghanistan,1961,,8.097166298,4.453443266,,,0
Albania,1961,,,,,,0
Argentina,1961,,5.994945316,5.994946995,,2.14,3187
Australia,1961,,14.99943098,12.38192785,,2.42,0
Austria,1961,,,,,1.31,125
Belgium,1961,,,,,3.26,1937
Benin,1961,,9.534632137,4.583489549,,1.4,250
Burkina Faso,1961,,15.7899764,5.428886039,,0.83,0
Bulgaria,1961,,,,,,0
Bolivia,1961,,23.33743842,16.3998358,,1.2,2187
Brazil,1961,,6.473180024,6.420216755,,2.36,1000
Central African Republic,1961,,35.76158881,26.49006579,,,0
Canada,1961,,18.27351706,17.62726441,,4.13,0
Switzerland,1961,,,,,2.47,0
Chile,1961,,15.52468007,11.40451549,,3.53,562
China,1961,,3.489410046,3.870810679,,,1250
Cameroon,1961,,,,,,0
Colombia,1961,,13.82979718,12.9913517,,2.14,2500
Costa Rica,1961,,25.05717491,20.86163431,,,125
Cuba,1961,,,,,,8500
Cyprus,1961,,,,,,125
Denmark,1961,,,,,2.59,0
Dominican Republic,1961,,16.34306181,23.25331807,,5.23,3375
Ecuador,1961,,10.15166537,8.957493023,,2.05,3000
Spain,1961,,,,,2.03,0
Ethiopia,1961,,,,,1.86,0
Finland,1961,,,,,1.84,250
