Year,Country,PI,GDPPC,GDP_Growth,GINI,Gov_Debt,Inflation,Life_Exp,Unemployment,Edu
1960,Afghanistan,0,,,,,,,,
1960,Albania,0,,,,,,,,
1960,Argentina,6375,,,,,,,,
1960,Australia,312,,,,,,,,
1960,Austria,562,,,,,,,,
1960,Belgium,1562,,,,,,,,
1960,Benin,625,,,,,,,,
1960,Bulgaria,0,,,,,,,,
1960,Bolivia,4312,,,,,,,,
1960,Brazil,625,,,,,,,,
1960,Central African Republic,0,,,,,,,,
1960,Canada,0,,,,,,,,
1960,Switzerland,0,,,,,,,,
1960,Chile,750,,,,,,,,
1960,China,750,,,,,,,,
1960,Cameroon,4687,,,,,,,,
1960,Colombia,1250,,,,,,,,
1960,Costa Rica,1250,,,,,,,,
1960,Cuba,8500,,,,,,,,
1960,Cyprus,437,,,,,,,,
1960,Denmark,0,,,,,,,,
1960,Ecuador,562,,,,,,,,
1960,Spain,2750,,,,,,,,
1960,Finland,250,,,,,,,,
1960,France,2812,,,,,,,,
1960,Gabon,0,,,,,,,,
1960,United Kingdom,1062,,,,,,,,
1960,Ghana,1500,,,,,,,,
1960,Greece,0,,,,,,,,
1960,Guatemala,4750,,,,,,,,
1960,Honduras,250,,,,,,,,
1960,Haiti,812,,,,,,,,
1960,Hungary,0,,,,,,,,
1960,Indonesia,1875,,,,,,,,
1960,India,7000,,,,,,,,
1960,Ireland,0,,,,,,,,
1960,Iraq,2000,,,,,,,,
1960,Iceland,0,,,,,,,,
1960,Israel,250,,,,,,,,
1960,Italy,3250,,,,,,,,
1960,Jordan,1562,,,,,,,,
1960,Japan,5937,,,,,,,,
1960,Cambodia,0,,,,,,,,
1960,Liberia,0,,,,,,,,
1960,Sri Lanka,312,,,,,,,,
1960,Luxembourg,0,,,,,,,,
1960,Morocco,2312,,,,,,,,
1960,Mexico,625,,,,,,,,
1960,Mali,1875,,,,,,,,
1960,Mongolia,0,,,,,,,,
1960,Mauritania,0,,,,,,,,
1960,Malaysia,1250,,,,,,,,
1960,Niger,250,,,,,,,,
1960,Nicaragua,2500,,,,,,,,
1960,Netherlands,250,,,,,,,,
1960,Norway,0,,,,,,,,
1960,Nepal,2437,,,,,,,,
1960,New Zealand,0,,,,,,,,
1960,Pakistan,0,,,,,,,,
1960,Panama,500,,,,,,,,
1960,Peru,0,,,,,,,,
1960,Philippines,1500,,,,,,,,
1960,Poland,750,,,,,,,,
