Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72125723,6.264251,4.12337015,4.658327079,4.060547759,1.584020228,1.841156866,1.428598064,0.982635373,1.26314922,0.753989027,0.911673394,0.533310412,-0.441605944,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,8.951174451,9.863716413,11.28564384,9.565797474,8.707082453,10.92935903,11.71952437,11.60960286,16.33335687,17.56107551,17.92915265,17.24367851,16.70920646,19.05580077,18.94540326,19.95466626,17.85548891,16.00515248,14.24088358,10.50530677,9.683539559,9.339272734,9.354345842,10.01219429,10.58739626,13.781646,15.82829625,12.1186454,9.987661964,9.359668802,8.322203125,7.876634479,10.12414257,8.499137939,8.241686049,7.311906883,7.786981623,6.852726995,7.816809681,8.609251715,8.727384851,7.994589102,9.122437028,,,
Afghanistan,AFG,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,12.44168536,3.09356413,2.12401673,0.984236032,1.268228389,0.472734961,1.505118481,0.195615272,4.33914751,8.513842233,20.32117683,,,,,,,,,,,,,,,,,,,124.2116561,145.757688,105.255693,91.64918794,67.40130246,50.59282031,58.55831323,49.87847992,55.08323717,47.60106899,46.89996128,55.77934113,59.83045541,,
Africa Western and Central,AFW,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,5.720286464,7.22753077,7.738216329,6.424065218,5.662988746,6.772601922,7.796749849,10.32396988,10.5063842,18.02022373,16.72707978,19.35786701,22.62444043,20.4002092,18.74057799,19.46641438,18.37874815,23.32195405,26.70340258,24.1419318,18.98715009,20.05667075,11.41633312,9.729120437,9.997922714,12.93320876,10.77357779,12.79757065,16.92875812,20.58380692,9.594630019,7.50686889,9.930280238,8.485292314,6.340360871,7.104476645,6.345758573,6.51598039,7.575451173,8.760611302,9.146098224,7.752733771,7.328166426,,,
Angola,AGO,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,4.011081466,6.833683106,6.654950132,5.031400153,5.074726536,6.386552338,6.529669288,7.11602769,7.512916084,11.87531562,9.679105954,7.68019767,5.687710044,5.863628937,5.458456051,4.054218911,3.414090001,4.740187386,4.682164894,8.699927422,2.159694869,0.723164393,0.752991349,0.644483286,0.489793497,0.538860178,0.358588072,0.430941131,0.475017976,0.373437037,0.862936106,0.660441553,0.620028313,0.476271709,0.068965003,0.53902735,0.927515201,
Albania,ALB,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.358748764,2.135481238,2.269459887,97.54628628,61.3876839,34.07351368,21.05059449,20.88827274,20.1762663,24.11510627,33.92410692,51.04349568,23.37819992,16.69236022,16.63122388,15.25173805,10.30239088,8.868094554,7.822866784,5.684581917,5.105021874,5.41264423,5.814013391,5.415154641,5.644971938,4.383232053,4.284200696,6.262819443,3.000273693,2.570381878,4.697467015,0.35630201,4.905777589,7.248034218,
Andorra,AND,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,4.873379874,4.021711906,3.730254892,3.463173881,2.74828829,2.446221438,2.220033617,2.180444339,2.87059783,3.25731386,3.440529402,2.598537349,2.317810491,5.10198724,3.889314025,2.756237334,2.631109391,2.951163696,2.142691431,2.11332581,1.894070414,2.184852269,1.872176804,1.563421266,1.726126091,1.616244636,2.462192646,2.560416662,5.243884849,2.680437967,2.356019635,2.22781059,1.566669213,1.240200034,1.256540594,1.239650532,1.736032636,1.640884935,1.720526654,2.55800792,2.614564889,2.742799686,2.370057064,3.138522314,3.30358517,
United Arab Emirates,ARE,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,0.347215381,0.290448332,0.277116406,0.269597563,0.273017065,0.223279793,0.242875966,0.281761609,0.263904576,0.346423206,0.629550489,0.660096568,1.101763035,1.509621869,1.310152709,1.580753409,1.107791605,0.891781371,0.468984554,0.4228933,0.305178447,0.201978363,0.14131846,0.177281127,0.155214574,0.387515961,0.414755552,0.394979351,0.238419359,0.202244321,0.208911447,0.133139445,0.150804799,0.182630008,0.151360944,0.090932793,0.17883948,0.032797154,0.051297285,-0.020716516,0.00289705,-0.001066472,0.065521976,0.009808657,0.152579715,0.181215318,
